Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Model Size (MB),Training Time
EfficientNetV2B0,N/A,0.9982142857142857,0.998221961895486,0.9982142857142857,0.9982149349631195,25.25,00:06:27
MobileNetV2,N/A,0.9989285714285714,0.9989348948943535,0.9989285714285714,0.9989285600800719,11.25,00:08:06
