Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score,Model Size (MB),Training Time
EfficientNetV2B0,N/A,0.9982517482517482,0.9983277591973243,0.9982517482517482,0.9982611258473327,25.29,00:24:53
MobileNetV2,N/A,0.9938811188811189,0.993958818958819,0.9938811188811189,0.9938703862266479,11.28,00:21:08
